symbol,sector_group
VCA,ICB2:1700
VCB,ICB2:8300
VCC,ICB2:2300
VCF,ICB2:3500
VCG,ICB2:2300
VCI,ICB2:8700
VCK,ICB2:8700
VCM,ICB2:2700
VCS,ICB2:2300
VDL,ICB2:3500
VDP,ICB2:4500
VDS,ICB2:8700
VE1,ICB2:2300
VE3,ICB2:2300
VE4,ICB2:2300
VFG,ICB2:1300
VFS,ICB2:8700
VGC,ICB2:2300
VGP,ICB2:2700
VGS,ICB2:1700
VHC,ICB2:3500
VHE,ICB2:4500
VHL,ICB2:2300
VHM,ICB2:8600
VIB,ICB2:8300
VIC,ICB2:8600
VID,ICB2:1700
VIF,ICB2:1700
VIG,ICB2:8700
VIP,ICB2:2700
VIT,ICB2:2300
VIX,ICB2:8700
VJC,ICB2:5700
VLA,ICB2:9500
VMC,ICB2:2300
VMD,ICB2:4500
VMS,ICB2:2700
VNC,ICB2:2700
VND,ICB2:8700
VNF,ICB2:2700
VNG,ICB2:5700
VNL,ICB2:2700
VNM,ICB2:3500
VNR,ICB2:8500
VNS,ICB2:5700
VNT,ICB2:2700
VOS,ICB2:2700
VPB,ICB2:8300
VPD,ICB2:7500
VPG,ICB2:1700
VPH,ICB2:8600
VPI,ICB2:8600
VPL,ICB2:5700
VPS,ICB2:1300
VPX,ICB2:8700
VRC,ICB2:8600
VRE,ICB2:8600
VSA,ICB2:2700
VSC,ICB2:2700
VSH,ICB2:7500
VSI,ICB2:2300
VSM,ICB2:2700
VTB,ICB2:2700
VTC,ICB2:9500
VTH,ICB2:2700
VTJ,ICB2:3700
VTO,ICB2:2700
VTP,ICB2:2700
VTV,ICB2:2300
VTZ,ICB2:1300
VVS,ICB2:3300
WCS,ICB2:2700
WSS,ICB2:8700
X20,ICB2:3700
YBM,ICB2:1700
YEG,ICB2:5500
