date,branch,cash,equity,positions
2024-12-24,TFM,71850336.72641148,112459668.36703648,2
2024-12-25,TFM,71850336.72641148,114015504.10922398,2
2024-12-26,TFM,71850336.72641148,113928547.07797398,2
2024-12-27,TFM,71850336.72641148,114367473.05453648,2
2024-12-30,TFM,71850336.72641148,114521786.53109898,2
2024-12-31,TFM,71850336.72641148,113859120.51547398,2
2025-01-02,TFM,71850336.72641148,114043798.44516148,2
2025-01-03,TFM,71850336.72641148,113098456.84359898,2
2025-01-06,TFM,71850336.72641148,113124543.56234898,2
2025-01-07,TFM,71850336.72641148,113384239.46078648,2
2025-01-08,TFM,71850336.72641148,113493902.54672398,2
2025-01-09,TFM,71850336.72641148,113233170.51547398,2
2025-01-10,TFM,71850336.72641148,113178787.89828648,2
2025-01-13,TFM,71850336.72641148,113356980.47641148,2
2025-01-14,TFM,84646631.23395249,112748097.05426499,1
2025-01-15,TFM,84646631.23395249,112595991.97613999,1
2025-01-16,TFM,112701738.95089439,112701738.95089439,0
2025-01-17,TFM,112701738.95089439,112701738.95089439,0
2025-01-20,TFM,112701738.95089439,112701738.95089439,0
2025-01-21,TFM,112701738.95089439,112701738.95089439,0
2025-01-22,TFM,112701738.95089439,112701738.95089439,0
2025-01-23,TFM,112701738.95089439,112701738.95089439,0
2025-01-24,TFM,85848118.85089439,112526378.22589439,1
2025-02-03,TFM,85848118.85089439,111152467.28839439,1
2025-02-04,TFM,111163281.36346275,111163281.36346275,0
2025-02-05,TFM,83694898.57674888,110901017.71737388,1
2025-02-06,TFM,83694898.57674888,111004724.74862388,1
2025-02-07,TFM,83694898.57674888,111903529.43612388,1
2025-02-10,TFM,83694898.57674888,111557836.07674888,1
2025-02-11,TFM,83694898.57674888,111834390.76424888,1
2025-02-12,TFM,83694898.57674888,111696113.42049888,1
2025-02-13,TFM,83694898.57674888,111938099.74862388,1
2025-02-14,TFM,83694898.57674888,111730681.77987388,1
2025-02-17,TFM,83694898.57674888,111454127.09237388,1
2025-02-18,TFM,83694898.57674888,111557836.07674888,1
2025-02-19,TFM,83694898.57674888,111696113.42049888,1
2025-02-20,TFM,83694898.57674888,111938099.74862388,1
2025-02-21,TFM,83694898.57674888,112387500.13924888,1
2025-02-24,TFM,83694898.57674888,112664056.77987388,1
2025-02-25,TFM,83694898.57674888,112629486.46737388,1
2025-02-26,TFM,83694898.57674888,112283793.10799888,1
2025-02-27,TFM,83694898.57674888,112387500.13924888,1
2025-02-28,TFM,83694898.57674888,112387500.13924888,1
2025-03-03,TFM,83694898.57674888,112214654.43612388,1
2025-03-04,TFM,83694898.57674888,112456640.76424888,1
2025-03-05,TFM,83694898.57674888,112180084.12362388,1
2025-03-06,TFM,83694898.57674888,112491209.12362388,1
2025-03-07,TFM,83694898.57674888,113009750.13924888,1
2025-03-10,TFM,83694898.57674888,113044320.45174888,1
2025-03-11,TFM,83694898.57674888,113148027.48299888,1
2025-03-12,TFM,83694898.57674888,113182597.79549888,1
2025-03-13,TFM,83694898.57674888,112940611.46737388,1
2025-03-14,TFM,83694898.57674888,112940611.46737388,1
2025-03-17,TFM,83694898.57674888,113148027.48299888,1
2025-03-18,TFM,83694898.57674888,112733195.45174888,1
2025-03-19,TFM,83694898.57674888,112422070.45174888,1
2025-03-20,TFM,83694898.57674888,112456640.76424888,1
2025-03-21,TFM,83694898.57674888,112491209.12362388,1
2025-03-24,TFM,83694898.57674888,112594918.10799888,1
2025-03-25,TFM,83694898.57674888,112940611.46737388,1
2025-03-26,TFM,83694898.57674888,112560347.79549888,1
2025-03-27,TFM,83694898.57674888,112456640.76424888,1
2025-03-28,TFM,83694898.57674888,112283793.10799888,1
2025-03-31,TFM,112094664.17346519,112094664.17346519,0
2025-04-01,TFM,112094664.17346519,112094664.17346519,0
2025-04-02,TFM,112094664.17346519,112094664.17346519,0
2025-04-03,TFM,112094664.17346519,112094664.17346519,0
2025-04-04,TFM,112094664.17346519,112094664.17346519,0
2025-04-08,TFM,112094664.17346519,112094664.17346519,0
2025-04-09,TFM,112094664.17346519,112094664.17346519,0
2025-04-10,TFM,112094664.17346519,112094664.17346519,0
2025-04-11,TFM,112094664.17346519,112094664.17346519,0
2025-04-14,TFM,112094664.17346519,112094664.17346519,0
2025-04-15,TFM,112094664.17346519,112094664.17346519,0
2025-04-16,TFM,112094664.17346519,112094664.17346519,0
2025-04-17,TFM,112094664.17346519,112094664.17346519,0
2025-04-18,TFM,112094664.17346519,112094664.17346519,0
2025-04-21,TFM,112094664.17346519,112094664.17346519,0
2025-04-22,TFM,112094664.17346519,112094664.17346519,0
2025-04-23,TFM,112094664.17346519,112094664.17346519,0
2025-04-24,TFM,112094664.17346519,112094664.17346519,0
2025-04-25,TFM,112094664.17346519,112094664.17346519,0
2025-04-28,TFM,112094664.17346519,112094664.17346519,0
2025-04-29,TFM,112094664.17346519,112094664.17346519,0
2025-05-05,TFM,112094664.17346519,112094664.17346519,0
2025-05-06,TFM,112094664.17346519,112094664.17346519,0
2025-05-07,TFM,112094664.17346519,112094664.17346519,0
2025-05-08,TFM,112094664.17346519,112094664.17346519,0
2025-05-09,TFM,112094664.17346519,112094664.17346519,0
2025-05-12,TFM,112094664.17346519,112094664.17346519,0
2025-05-13,TFM,112094664.17346519,112094664.17346519,0
2025-05-14,TFM,112094664.17346519,112094664.17346519,0
2025-05-15,TFM,112094664.17346519,112094664.17346519,0
2025-05-16,TFM,112094664.17346519,112094664.17346519,0
2025-05-19,TFM,100774300.12143421,112118173.36362171,1
2025-05-20,TFM,100774300.12143421,112118173.36362171,1
2025-05-21,TFM,100774300.12143421,112233456.66440296,1
2025-05-22,TFM,100774300.12143421,112325683.71518421,1
2025-05-23,TFM,94070915.10393421,112247845.27971546,2
2025-05-26,TFM,94070915.10393421,112857015.39690296,2
2025-05-27,TFM,94070915.10393421,112857015.39690296,2
2025-05-28,TFM,94070915.10393421,112913958.46330921,2
2025-05-29,TFM,94070915.10393421,112984788.34612171,2
2025-05-30,TFM,94070915.10393421,113058675.16252796,2
2025-06-02,TFM,94070915.10393421,113114788.34612171,2
2025-06-03,TFM,94070915.10393421,113114788.34612171,2
2025-06-04,TFM,94070915.10393421,113220902.21330921,2
2025-06-05,TFM,94070915.10393421,113101732.09612171,2
2025-06-06,TFM,94070915.10393421,113002561.97893421,2
2025-06-09,TFM,94070915.10393421,112323391.86174671,2
2025-06-10,TFM,105173883.50788477,112243883.50788477,1
2025-06-11,TFM,105173883.50788477,112433883.50788477,1
2025-06-12,TFM,105173883.50788477,112383883.50788477,1
2025-06-13,TFM,105173883.50788477,112173883.50788477,1
2025-06-16,TFM,105173883.50788477,111913883.50788477,1
2025-06-17,TFM,111803941.82038477,111803941.82038477,0
2025-06-18,TFM,111803941.82038477,111803941.82038477,0
2025-06-19,TFM,111803941.82038477,111803941.82038477,0
2025-06-20,TFM,111803941.82038477,111803941.82038477,0
2025-06-23,TFM,97619448.94153857,111913896.20716357,1
2025-06-24,TFM,97619448.94153857,111913896.20716357,1
2025-06-25,TFM,97619448.94153857,111983034.87903857,1
2025-06-26,TFM,97619448.94153857,112034889.37122607,1
2025-06-27,TFM,97619448.94153857,112104028.04310107,1
2025-06-30,TFM,97619448.94153857,112104028.04310107,1
2025-07-01,TFM,97619448.94153857,112104028.04310107,1
2025-07-02,TFM,97619448.94153857,112104028.04310107,1
2025-07-03,TFM,97619448.94153857,112104028.04310107,1
2025-07-04,TFM,97619448.94153857,112311444.05872607,1
2025-07-07,TFM,97619448.94153857,112968262.41810107,1
2025-07-08,TFM,97619448.94153857,112968262.41810107,1
2025-07-09,TFM,97619448.94153857,112968262.41810107,1
2025-07-10,TFM,97619448.94153857,113175679.41028857,1
2025-07-11,TFM,97619448.94153857,113175679.41028857,1
2025-07-14,TFM,91857944.62903857,112822188.76966357,2
2025-07-15,TFM,91857944.62903857,112822188.76966357,2
2025-07-16,TFM,91857944.62903857,112700335.25403857,2
2025-07-17,TFM,91857944.62903857,113266889.94153857,2
2025-07-18,TFM,91857944.62903857,113514175.09778857,2
2025-07-21,TFM,91857944.62903857,113083313.76966357,2
2025-07-22,TFM,91857944.62903857,113083313.76966357,2
2025-07-23,TFM,91857944.62903857,113496591.11341357,2
2025-07-24,TFM,91857944.62903857,113388876.26966357,2
2025-07-25,TFM,91857944.62903857,113456160.44935107,2
2025-07-28,TFM,91857944.62903857,113401591.11341357,2
2025-07-29,TFM,91857944.62903857,113401591.11341357,2
2025-07-30,TFM,91857944.62903857,112659342.08997607,2
2025-07-31,TFM,91857944.62903857,113304008.10560107,2
2025-08-01,TFM,91857944.62903857,113000299.12122607,2
2025-08-04,TFM,97152021.26653858,112932952.90716358,1
2025-08-05,TFM,97152021.26653858,112932952.90716358,1
2025-08-06,TFM,97152021.26653858,113226792.75091358,1
2025-08-07,TFM,59575541.023264155,113219919.73420165,3
2025-08-08,TFM,59575541.023264155,113649609.77326415,3
2025-08-11,TFM,59575541.023264155,113714484.77326415,3
2025-08-12,TFM,59575541.023264155,114149266.21857665,3
2025-08-13,TFM,59575541.023264155,115572115.04670165,3
2025-08-14,TFM,59575541.023264155,116125224.42170165,3
2025-08-15,TFM,59575541.023264155,118404380.86701415,3
